composition,ΔH
Zr0.21393035 Ti0.11940298 Mn0.05614035 Al0.00401002 V0.10025063 Cr0.08521303 Co0.01503759 Ni0.40300752 Sn0.00300752,38.1
Zr0.21393035 Ti0.11940298 Mn0.05112782 Al0.00401002 V0.10025063 Cr0.05513784 Co0.05012531 Ni0.40300752 Sn0.00300752,34.61
Zr0.21393035 Ti0.11940298 Mn0.04110276 Al0.00401002 V0.10025063 Cr0.03508772 Co0.0802005 Ni0.40300752 Sn0.00300752,31.71
Zr0.21393035 Ti0.11940299 Mn0.13533835 Al0.00501253 V0.10025063 Cr0.04511278 Ni0.37794486 Sn0.00300752,40.25
Zr0.21393035 Ti0.11940298 Mn0.04110276 Al0.00401002 V0.10025063 Cr0.03508772 Co0.0802005 Ni0.40300752 Sn0.00300752,41.5
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Co0.0802005 Ni0.32280702 Sn0.00300752,40.87
La0.00291971 Zr0.26455026 Ti0.06878307 Mn0.21605839 V0.0379562 Fe0.03698297 Ni0.36982968 Sn0.00291971,35.07
La0.00291971 Zr0.26455026 Ti0.06878307 Mn0.21605839 V0.0379562 Fe0.03698297 Ni0.36982968 Sn0.00291971,34.22
Zr0.25333333 Ti0.08 Mn0.19753086 V0.04320988 Fe0.05555556 Ni0.37037037,33.68
La0.0030722 Zr0.25333333 Ti0.08 Mn0.19662058 V0.04301075 Fe0.05529954 Ni0.36866359,34.17
Zr0.18333333 Ti0.15 Mn0.08080808 V0.18181818 Cr0.05387205 Co0.05387205 Ni0.2962963,31.21
Zr0.3 Ti0.03333333 Mn0.3 Cr0.03333333 Fe0.16666667 Ni0.16666667,38.89
Zr0.16666667 Ti0.16666667 V0.13333333 Fe0.4 Ni0.13333333,32.73
Zr0.25 Ti0.08333333 V0.06666667 Fe0.33333333 Ni0.26666667,27.16
Zr0.03333333 Ti0.3 Mn0.47342995 V0.06441224 Cr0.12882448,28.59
Zr0.03333333 Ti0.3 Mn0.54471545 V0.12195122,38.48
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Co0.0802005 Ni0.32280702 Sn0.00300752,38.1
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.0962406 Cr0.07518797 Co0.0802005 Ni0.31679198 Sn0.00300752 B0.01002506,39.85
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.09223058 Cr0.07518797 Co0.0802005 Ni0.31077694 Sn0.00300752 B0.02005013,40.02
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.08822055 Cr0.07518797 Co0.0802005 Ni0.3047619 Sn0.00300752 B0.03007519,39.69
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.08421053 Cr0.07518797 Co0.0802005 Ni0.29874687 Sn0.00300752 B0.04010025,40.41
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.0802005 Cr0.07518797 Co0.0802005 Ni0.29273183 Sn0.00300752 B0.05012531,40.87
Zr0.21393035 Ti0.11940298 Mn0.13634085 Al0.00401002 V0.10025063 Cr0.08521303 Co0.01503759 Ni0.32280702 Sn0.00300752,40.91
Zr0.21393035 Ti0.11940298 Mn0.13634085 Al0.00401002 V0.10025063 Cr0.04511278 Co0.01503759 Ni0.36290727 Sn0.00300752,39.74
Zr0.19402985 Ti0.13930348 Mn0.13634085 Al0.00401002 V0.10025063 Cr0.04511278 Co0.01503759 Ni0.36290727 Sn0.00300752,38.97
Zr0.21393035 Ti0.11940298 Mn0.15639098 Al0.00401002 V0.10025063 Cr0.06516291 Co0.01503759 Ni0.32280702 Sn0.00300752,40.05
Zr0.21393035 Ti0.11940298 Mn0.05614035 Al0.00401002 V0.10025063 Cr0.08521303 Co0.01503759 Ni0.40300752 Sn0.00300752,38.1
Y0.00987654 Zr0.21025641 Ti0.12307692 Mn0.05530864 Al0.00395062 V0.09876543 Cr0.08395062 Co0.01481481 Ni0.39703704 Sn0.00296296,38.46
Y0.01946472 Zr0.20634921 Ti0.12698413 Mn0.05450122 Al0.00389294 V0.0973236 Cr0.08272506 Co0.01459854 Ni0.39124088 Sn0.00291971,38.89
Y0.02877698 Zr0.20218579 Ti0.13114754 Mn0.05371703 Al0.00383693 V0.09592326 Cr0.08153477 Co0.01438849 Ni0.38561151 Sn0.0028777,37.94
Y0.03782506 Zr0.19774011 Ti0.13559322 Mn0.05295508 Al0.00378251 V0.09456265 Cr0.08037825 Co0.0141844 Ni0.38014184 Sn0.00283688,36.44
Zr0.21393035 Ti0.11940298 Mn0.04110276 Al0.00401002 V0.10025063 Cr0.03508772 Co0.0802005 Ni0.40300752 Sn0.00300752,26.19
Y0.00987654 Zr0.21025641 Ti0.12307692 Mn0.04049383 Al0.00395062 V0.09876543 Cr0.0345679 Co0.07901235 Ni0.39703704 Sn0.00296296,26.5
Y0.01946472 Zr0.20634921 Ti0.12698413 Mn0.03990268 Al0.00389294 V0.0973236 Cr0.03406326 Co0.07785888 Ni0.39124088 Sn0.00291971,26.69
Y0.02877698 Zr0.20218579 Ti0.13114754 Mn0.03932854 Al0.00383693 V0.09592326 Cr0.03357314 Co0.07673861 Ni0.38561151 Sn0.0028777,34.22
Y0.03782506 Zr0.19774011 Ti0.13559322 Mn0.03877069 Al0.00378251 V0.09456265 Cr0.03309693 Co0.07565012 Ni0.38014184 Sn0.00283688,33.98
La0.00696864 Y0.16260163 Zr0.28333333 Ti0.05 Mn0.16260163 V0.02787456 Fe0.02787456 Ni0.27874564,31.0
Y0.17283951 Zr0.33333333 Fe0.49382716,56.76
Y0.17283951 Zr0.22222222 Ti0.11111111 Fe0.49382716,58.77
Y0.17283951 Zr0.11111111 Ti0.22222222 Fe0.49382716,61.08
Y0.17283951 Zr0.3 Ti0.03333333 Fe0.49382716,52.9
Y0.17283951 Zr0.23333333 Ti0.1 Fe0.49382716,54.03
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00802005 V0.10526316 Cr0.07518797 Co0.0802005 Ni0.31679198,38.28
Zr0.21285141 Ti0.12048193 Mn0.08083832 Al0.00898204 V0.10578842 Cr0.0748503 Co0.07984032 Ni0.31636727,37.6
Zr0.21463897 Ti0.11869436 Mn0.07843137 Al0.00904977 V0.10558069 Cr0.07541478 Co0.08044243 Ni0.31774762,38.1
Zr0.21111111 Ti0.12222222 Mn0.08059702 Al0.01094527 V0.10447761 Cr0.07462687 Co0.07960199 Ni0.31641791,37.94
Zr0.21212121 Ti0.12121212 Mn0.08083832 Al0.00998004 V0.10479042 Cr0.0748503 Co0.07984032 Ni0.31636727,37.79
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00802005 V0.10526316 Cr0.07518797 Co0.0802005 Ni0.31679198,38.46
La0.32073887 Zr0.21256039 Ti0.12077295 Mn0.04198153 Al0.00503778 V0.05541562 Cr0.03946264 Co0.04198153 Ni0.1620487,37.94
La0.29846939 Zr0.21406728 Ti0.11926605 Mn0.04421769 Al0.00595238 V0.05782313 Cr0.04166667 Co0.04421769 Ni0.17431973,36.82
La0.21447721 Zr0.21437909 Ti0.11895425 Mn0.05451296 Al0.00714924 V0.0714924 Cr0.05093834 Co0.05451296 Ni0.21358356,36.72
La0.25896763 Zr0.2137834 Ti0.11954993 Mn0.04899388 Al0.00612423 V0.06474191 Cr0.0463692 Co0.04899388 Ni0.19247594,37.03
La0.20911528 Zr0.2130719 Ti0.12026144 Mn0.05451296 Al0.00714924 V0.0714924 Cr0.05183199 Co0.05540661 Ni0.21715818,34.83
La0.25021872 Zr0.21338912 Ti0.11994421 Mn0.05074366 Al0.00699912 V0.0656168 Cr0.0463692 Co0.04986877 Ni0.19685039,36.53
