composition,ΔH
La0.01007049 Zr0.21499014 Ti0.1183432 Mn0.081571 Al0.0040282 V0.10070493 Cr0.0755287 Co0.07049345 Ni0.32426989,41.4
La0.01984127 Zr0.21138211 Ti0.12195122 Mn0.08035714 Al0.00396825 V0.09920635 Cr0.07440476 Co0.06944444 Ni0.31944445,40.6
La0.02932551 Zr0.20754717 Ti0.12578616 Mn0.07917889 Al0.00391007 V0.09775171 Cr0.07331378 Co0.0684262 Ni0.31476051,40.0
La0.03853565 Zr0.2034632 Ti0.12987013 Mn0.07803468 Al0.00385356 V0.09633911 Cr0.07225434 Co0.06743738 Ni0.31021195,36.6
La0.04748338 Zr0.19910515 Ti0.13422819 Mn0.07692308 Al0.00379867 V0.09496676 Cr0.07122507 Co0.06647673 Ni0.30579297,35.8
Zr0.33333333 Fe0.16666667 Co0.5,9.5
Zr0.33333333 Mn0.33333333 Fe0.23333333 Co0.1,9.8
Zr0.33333333 Mn0.33333333 Fe0.23333333 Co0.1,8.8
Zr0.33333333 Mn0.33333333 Fe0.33333333,32.07
Zr0.33333333 Mn0.33333333 Fe0.33333333,32.07
Zr0.33333333 Mn0.33333333 Fe0.33333333,32.07
Zr0.33333333 Mn0.33333333 Fe0.33333333,32.07
Zr0.33333333 Fe0.66666667,26.0
Zr0.33333333 Fe0.66666667,24.2
Zr0.33333333 Fe0.66666667,22.7
Zr0.16666667 Ti0.16666667 Mn0.22222222 V0.22222222 Fe0.22222222,46.5
Zr0.16666667 Ti0.16666667 Mn0.19047619 V0.19047619 Cr0.0952381 Fe0.19047619,39.72
Zr0.16666667 Ti0.16666667 Mn0.17777778 V0.17777778 Cr0.13333333 Fe0.17777778,36.21
Zr0.16666667 Ti0.16666667 Mn0.16666667 V0.16666667 Cr0.16666667 Fe0.16666667,31.83
Zr0.16666667 Ti0.16666667 Mn0.15686275 V0.15686275 Cr0.19607843 Fe0.15686275,31.56
Zr0.16666667 Ti0.16666667 Mn0.14814815 V0.14814815 Cr0.22222222 Fe0.14814815,30.78
Zr0.16666667 Ti0.16666667 Mn0.13333333 V0.13333333 Cr0.26666667 Fe0.13333333,25.95
Zr0.16666667 Ti0.16666667 Mn0.22222222 V0.22222222 Cr0.22222222,51.21
Zr0.16666667 Ti0.16666667 Mn0.19047619 V0.19047619 Cr0.19047619 Fe0.0952381,54.28
Zr0.16666667 Ti0.16666667 Mn0.14814815 V0.14814815 Cr0.14814815 Fe0.22222222,28.98
Zr0.16666667 Ti0.16666667 Mn0.13333333 V0.13333333 Cr0.13333333 Fe0.26666667,21.88
Zr0.16666667 Ti0.16666667 V0.22222222 Cr0.22222222 Fe0.22222222,42.44
