composition,wt
Zr0.16666667 Ti0.16666667 Mn0.19047619 V0.19047619 Cr0.19047619 Fe0.0952381,1.93
Zr0.16666667 Ti0.16666667 Mn0.14814815 V0.14814815 Cr0.14814815 Fe0.22222222,1.72
Zr0.16666667 Ti0.16666667 Mn0.13333333 V0.13333333 Cr0.13333333 Fe0.26666667,1.43
Zr0.16666667 Ti0.16666667 V0.22222222 Cr0.22222222 Fe0.22222222,1.18
Zr0.16666667 Ti0.16666667 Mn0.0952381 V0.19047619 Cr0.19047619 Fe0.19047619,1.78
Zr0.16666667 Ti0.16666667 Mn0.13333333 V0.17777778 Cr0.17777778 Fe0.17777778,1.71
Zr0.16666667 Ti0.16666667 Mn0.19607843 V0.15686275 Cr0.15686275 Fe0.15686275,1.61
Zr0.16666667 Ti0.16666667 Mn0.22222222 V0.14814815 Cr0.14814815 Fe0.14814815,1.5
Zr0.16666667 Ti0.16666667 Mn0.26666667 V0.13333333 Cr0.13333333 Fe0.13333333,1.47
Zr0.33333333 Mn0.16666667 V0.16666667 Cr0.16666667 Fe0.16666667,1.27
Zr0.22222222 Ti0.11111111 Mn0.16666667 V0.16666667 Cr0.16666667 Fe0.16666667,1.2
Zr0.13333333 Ti0.2 Mn0.16666667 V0.16666667 Cr0.16666667 Fe0.16666667,1.19
Zr0.11111111 Ti0.22222222 Mn0.16666667 V0.16666667 Cr0.16666667 Fe0.16666667,1.25
Zr0.16666667 Ti0.16666667 Mn0.22222222 Cr0.22222222 Fe0.22222222,1.72
Zr0.16666667 Ti0.16666667 Mn0.19047619 V0.0952381 Cr0.19047619 Fe0.19047619,1.7
Zr0.16666667 Ti0.16666667 Mn0.14814815 V0.22222222 Cr0.14814815 Fe0.14814815,1.85
Zr0.16666667 Ti0.16666667 Mn0.13333333 V0.26666667 Cr0.13333333 Fe0.13333333,1.54
Ti0.33333333 Mn0.16666667 V0.16666667 Cr0.16666667 Fe0.16666667,1.74
Zr0.11111111 Ti0.22222222 Mn0.16666667 V0.16666667 Cr0.16666667 Fe0.16666667,1.72
Zr0.2 Ti0.13333333 Mn0.16666667 V0.16666667 Cr0.16666667 Fe0.16666667,1.68
Zr0.22222222 Ti0.11111111 Mn0.16666667 V0.16666667 Cr0.16666667 Fe0.16666667,1.85
Zr0.1 Ti0.23333333 Mn0.53333334 V0.13333333,1.8
Zr0.1 Ti0.23333333 Mn0.46666667 V0.2,1.8
Ti0.33333333 Cr0.66666667,2.0
Ti0.33333333 Cr0.66666667,2.0
Ti0.33333333 Al0.01851852 Cr0.64814815,1.9
Ti0.33333333 Al0.07407407 Cr0.5925926,2.1
Ti0.33333333 Al0.07017544 Cr0.59649123,2.2
Ti0.33333333 Al0.01666667 Cr0.65,2.1
Ti0.33333333 Mn0.07407407 Cr0.5925926,1.9
Ti0.33333333 Mn0.33333333 Cr0.33333333,2.0
Ti0.33333333 Cr0.64864865 B0.01801802,2.1
Ti0.33333333 Cr0.64864865 Si0.01801802,1.8
